similarity,suggested_action,why,name_a,polls_a,country_a,cells_a,name_b,polls_b,country_b,cells_b,decision,canonical_name
0.846,DIFFERENT_PEOPLE,different given names,Ed Buscombe,"19,922,022",UK,1992!row14; 2022!row492,Edward Buscombe,2012,UK,2012!row205,,
0.846,DIFFERENT_PEOPLE,both appear in the same poll,Jan Holmberg,"20,122,022",Sweden,2012!row338; 2022!row740,Jonas Holmberg,2022,Sweden,2022!row822,,
0.839,DIFFERENT_PEOPLE,different given names,Antonio Rodrigues,2012,Portugal,2012!row61,Nuno Rodrigues,2022,Portugal,2022!row1233,,
0.833,DIFFERENT_PEOPLE,both appear in the same poll,Jorge García,2012,Argentina,2012!row379,Roger Garcia,2012,Hong Kong,2012!row707,,
0.828,DIFFERENT_PEOPLE,both appear in the same poll,Brian Jacobson,2022,USA,2022!row56,Harlan Jacobson,2022,USA,2022!row653,,
0.828,DIFFERENT_PEOPLE,different given names,Evan Williams,1992,Australia,1992!row127,Melanie Williams,2022,UK,2022!row88,,
0.828,DIFFERENT_PEOPLE,both appear in the same poll,Melanie Williams,2022,UK,2022!row88,Mike Williams,2022,UK,2022!row1148,,
0.824,DIFFERENT_PEOPLE,different given names,Adam Cook,2022,Canada,2022!row112,Pam Cook,"199,220,022,012",UK,1992!row20; 2002!row24; 2012!row616,,
0.818,DIFFERENT_PEOPLE,both appear in the same poll,Adam Murray,2022,UK,2022!row115,Iana Murray,2022,UK/Philippines,2022!row686,,
0.818,DIFFERENT_PEOPLE,different given names,Ali Smith,2012,UK,2012!row22,Caitlin Smith,2022,UK,2022!row313,,
0.818,DIFFERENT_PEOPLE,both appear in the same poll,Stuart Brown,2022,UK,2022!row1504,Tara Brown,2022,UK,2022!row1522,,
0.818,DIFFERENT_PEOPLE,both appear in the same poll,Ben Walters,"20,122,022",UK,2012!row81; 2022!row276,Meg Walters,2022,UK/Canada,2022!row1099,,
0.815,DIFFERENT_PEOPLE,different given names,Marcel Martin,1972,France,1972!row51,Michael Martin,2022,USA,2022!row1118,,
0.815,DIFFERENT_PEOPLE,both appear in the same poll,Ben Mitchell,2022,UK,2022!row272,Robert Mitchell,2022,UK,2022!row1381,,
0.8,DIFFERENT_PEOPLE,different given names,A. Masson,1992,France,1992!row68,Alain Masson,2022,France,2022!row137,,
0.8,DIFFERENT_PEOPLE,both appear in the same poll,Ali Smith,2012,UK,2012!row22,Gavin Smith,"200,220,122,022",USA,2002!row122; 2012!row263; 2022!row593,,
0.8,DIFFERENT_PEOPLE,both appear in the same poll,Ben Mitchell,2022,UK,2022!row272,Neil Mitchell,2022,UK,2022!row1191,,
0.8,DIFFERENT_PEOPLE,different given names,Bob Baker,"19,821,992",UK,1982!row8; 1992!row5,Robin Baker,"20,122,022",UK,2012!row703; 2022!row93,,
0.8,DIFFERENT_PEOPLE,both appear in the same poll,Erica Gregor,2012,Germany,2012!row220,Ulrich Gregor,"20,122,022",Germany,2012!row812; 2022!row1571,,
0.8,DIFFERENT_PEOPLE,both appear in the same poll,Iain Sinclair,2012,UK,2012!row312,Jim Sinclair,2012,Canada,2012!row364,,
0.8,DIFFERENT_PEOPLE,different given names,Michael Dwyer,"19,922,002",Ireland,1992!row31; 2002!row35,Rachel Dwyer,"20,122,022",UK,2012!row668; 2022!row1331,,
0.8,DIFFERENT_PEOPLE,both appear in the same poll,Nick De Semlyen,2022,UK,2022!row1205,Phil De Semlyen,2022,UK,2022!row1306,,
0.786,DIFFERENT_PEOPLE,both appear in the same poll,Barrett Hodsdon,2022,Australia,2022!row75,Bruce Hodsdon,2022,Australia,2022!row302,,
0.786,DIFFERENT_PEOPLE,both appear in the same poll,Megan Mitchell,2022,UK,2022!row1100,Wendy Mitchell,2022,UK,2022!row1603,,
0.786,DIFFERENT_PEOPLE,different given names,Benjamin Mercer,2022,USA,2022!row278,Kobena Mercer,1992,UK/USA,1992!row74,,
0.786,DIFFERENT_PEOPLE,different given names,Deane Williams,2022,Australia,2022!row459,Linda Williams,2002,USA,2002!row140,,
0.786,DIFFERENT_PEOPLE,both appear in the same poll,Eric Henderson,2022,USA,2022!row77,Odie Henderson,2022,USA,2022!row90,,
0.783,DIFFERENT_PEOPLE,both appear in the same poll,Gavin Smith,"200,220,122,022",USA,2002!row122; 2012!row263; 2022!row593,Nadine Smith,2022,USA,2022!row45,,
0.783,DIFFERENT_PEOPLE,different given names,Ian Francis,2012,UK,2012!row314,Marc Francis,2022,USA,2022!row1019,,
0.778,DIFFERENT_PEOPLE,different given names,Rob White,2012,UK,2012!row693,Tom White,2022,USA,2022!row1558,,
0.778,DIFFERENT_PEOPLE,different given names,Jamie Dunn,2022,UK,2022!row735,Sam Dunn,2012,UK,2012!row723,,
0.774,DIFFERENT_PEOPLE,both appear in the same poll,Kambole Campbell,2022,UK,2022!row883,Ramsey Campbell,2022,UK,2022!row1342,,
0.774,DIFFERENT_PEOPLE,different given names,Ramsey Campbell,2022,UK,2022!row1342,Russell Campbell,2002,New Zealand,2002!row16,,
0.769,DIFFERENT_PEOPLE,both appear in the same poll,Adam Roberts,2022,UK,2022!row118,Soraya Roberts,2022,Canada,2022!row1482,,
0.769,DIFFERENT_PEOPLE,different given names,Evan Williams,1992,Australia,1992!row127,Mike Williams,2022,UK,2022!row1148,,
0.769,DIFFERENT_PEOPLE,different given names,José Oliveira,2022,Portugal,2022!row843,Luís Oliveira,2012,Portugal,2012!row471,,
0.769,DIFFERENT_PEOPLE,both appear in the same poll,Helen Hughes,2022,UK,2022!row660,Stephen Hughes,2022,UK,2022!row29,,
0.762,DIFFERENT_PEOPLE,different given names,Alby James,2012,UK/Africa,2012!row15,Caryn James,2022,USA,2022!row339,,
0.762,DIFFERENT_PEOPLE,different given names,Ali Smith,2012,UK,2012!row22,Nadine Smith,2022,USA,2022!row45,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Anna Smith,"20,122,022",UK,2012!row49; 2022!row226,Damon Smith,2022,UK,2022!row406,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Anna Smith,"20,122,022",UK,2012!row49; 2022!row226,Gavin Smith,"200,220,122,022",USA,2002!row122; 2012!row263; 2022!row593,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Andrew Chan,2022,USA,2022!row196,Karen Chan,2022,Singapore,2022!row887,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Armond White,"1,992,200,220,122,020",USA,1992!row126; 2002!row139; 2012!row65; 2022!row253,Rob White,2012,UK,2012!row693,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Robin Baker,"20,122,022",UK,2012!row703; 2022!row93,Rose Baker,2022,UK,2022!row1395,,
0.762,DIFFERENT_PEOPLE,both appear in the same poll,Kim Newman,"200,220,122,022",UK,2002!row92; 2012!row428; 2022!row922,Nick Newman,2022,USA,2022!row46,,
0.759,DIFFERENT_PEOPLE,both appear in the same poll,Jon Robertson,"20,122,022",UK,2012!row375; 2022!row818,Selina Robertson,2022,UK,2022!row1457,,
0.75,DIFFERENT_PEOPLE,both appear in the same poll,Caitlin Smith,2022,UK,2022!row313,Gavin Smith,"200,220,122,022",USA,2002!row122; 2012!row263; 2022!row593,,
0.75,DIFFERENT_PEOPLE,both appear in the same poll,Brad Stevens,"20,122,022",UK,2012!row93; 2022!row291,Dana Stevens,2022,USA,2022!row416,,
0.75,DIFFERENT_PEOPLE,both appear in the same poll,Catherine Russell,2022,Canada,2022!row346,Patrick Russell,"20,122,022",UK,2012!row626; 2022!row1272,,
0.75,DIFFERENT_PEOPLE,both appear in the same poll,Clare Stewart,"20,122,022",UK,2012!row139; 2022!row22,Jez Stewart,2022,UK,2022!row789,,
0.75,DIFFERENT_PEOPLE,both appear in the same poll,Goran Jovanović,2022,Serbia,2022!row627,Nebojša Jovanović,2022,Bosnia and Herzegovina,2022!row1187,,
0.75,DIFFERENT_PEOPLE,different given names,Karen Cooper,2012,USA,2012!row407,Sarah Cooper,2022,UK,2022!row1437,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Adam Solomons,2022,UK,2022!row120,Jason Solomons,"20,122,022",UK,2012!row347; 2022!row756,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Adina Hoffman,2022,USA,2022!row123,Jordan Hoffman,2022,USA,2022!row831,,
0.741,DIFFERENT_PEOPLE,different given names,Alfredo Guevara,2002,Cuba,2002!row56,Mara Guevara,2022,Argentina,2022!row1018,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Anne Thompson,"20,122,022",USA,2012!row52; 2022!row232,David Thompson,"199,220,122,022",UK,1992!row116; 2012!row181; 2022!row455,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Megan Mitchell,2022,UK,2022!row1100,Neil Mitchell,2022,UK,2022!row1191,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Neil Mitchell,2022,UK,2022!row1191,Wendy Mitchell,2022,UK,2022!row1603,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Brogan Morris,2022,UK,2022!row301,Meaghan Morris,2022,Australia,2022!row1097,,
0.741,DIFFERENT_PEOPLE,different given names,Craig Williams,2022,UK,2022!row397,Evan Williams,1992,Australia,1992!row127,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Craig Williams,2022,UK,2022!row397,Mike Williams,2022,UK,2022!row1148,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Deane Williams,2022,Australia,2022!row459,Mike Williams,2022,UK,2022!row1148,,
0.741,DIFFERENT_PEOPLE,different given names,Evan Williams,1992,Australia,1992!row127,Linda Williams,2002,USA,2002!row140,,
0.741,DIFFERENT_PEOPLE,different given names,Linda Williams,2002,USA,2002!row140,Mike Williams,2022,UK,2022!row1148,,
0.741,DIFFERENT_PEOPLE,different given names,Daniel Morgan,2022,USA,2022!row420,Frances Morgan,2012,UK,2012!row246,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Dario Oliveira,"20,122,022",Portugal,2012!row157; 2022!row430,José Oliveira,2022,Portugal,2022!row843,,
0.741,DIFFERENT_PEOPLE,both appear in the same poll,Dario Oliveira,"20,122,022",Portugal,2012!row157; 2022!row430,Luís Oliveira,2012,Portugal,2012!row471,,
0.737,DIFFERENT_PEOPLE,both appear in the same poll,Ali Smith,2012,UK,2012!row22,Anna Smith,"20,122,022",UK,2012!row49; 2022!row226,,
0.737,DIFFERENT_PEOPLE,different given names,Ali Smith,2012,UK,2012!row22,Neil Smith,2022,UK,2022!row1192,,
0.737,DIFFERENT_PEOPLE,different given names,Bob Baker,"19,821,992",UK,1982!row8; 1992!row5,Rose Baker,2022,UK,2022!row1395,,
0.733,DIFFERENT_PEOPLE,both appear in the same poll,Craig Williams,2022,UK,2022!row397,Melanie Williams,2022,UK,2022!row88,,
0.733,DIFFERENT_PEOPLE,different given names,Linda Williams,2002,USA,2002!row140,Melanie Williams,2022,UK,2022!row88,,
0.733,DIFFERENT_PEOPLE,both appear in the same poll,Mike Williams,2022,UK,2022!row1148,Missouri Williams,2022,UK,2022!row1158,,
0.733,DIFFERENT_PEOPLE,both appear in the same poll,Loreta Gandolfi,2022,UK,2022!row975,Marzia Gandolfi,2022,Italy,2022!row1076,,
0.727,DIFFERENT_PEOPLE,different given names,Ali Smith,2012,UK,2012!row22,Mikaela Smith,2022,UK,2022!row1143,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Anna Smith,"20,122,022",UK,2012!row49; 2022!row226,Nadine Smith,2022,USA,2022!row45,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Damon Smith,2022,UK,2022!row406,Gavin Smith,"200,220,122,022",USA,2002!row122; 2012!row263; 2022!row593,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Nadine Smith,2022,USA,2022!row45,Neil Smith,2022,UK,2022!row1192,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Carolyn Funk,2022,USA,2022!row335,Karlo Funk,2022,Estonia,2022!row889,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Emma Wilson,"20,122,022",UK,2012!row215; 2022!row528,Jake Wilson,2022,Australia,2022!row721,,
0.727,DIFFERENT_PEOPLE,different given names,Jan Dawson,1972,UK,1972!row26,Sarah Dawson,2022,South Africa,2022!row1438,,
0.727,DIFFERENT_PEOPLE,both appear in the same poll,Martin Brady,"20,122,022",UK,2012!row516; 2022!row1068,Tara Brady,"20,122,022",Ireland,2012!row781; 2022!row1521,,
0.72,DIFFERENT_PEOPLE,both appear in the same poll,Caitlin Smith,2022,UK,2022!row313,Nadine Smith,2022,USA,2022!row45,,
0.72,DIFFERENT_PEOPLE,both appear in the same poll,Erika Gregor,2022,Germany,2022!row539,Ulrich Gregor,"20,122,022",Germany,2012!row812; 2022!row1571,,
